algorithm,vertices,edges,runtime_ms,graph_memory_bytes,extra_memory_bytes,total_memory_bytes,note
Dijkstra,10000,28110,0.000875,802200,529760,1331960,
Bellman-Ford,10000,28110,0.0295,802200,80000,882200,
Dijkstra,50000,129432,1.98529,3788640,2470912,6259552,
Bellman-Ford,50000,129432,40.4965,3788640,400000,4188640,
Dijkstra,100000,245672,4.36958,7313440,4730752,12044192,
Bellman-Ford,100000,245672,108.211,7313440,800000,8113440,
Dijkstra,200000,503488,9.94096,14869760,9655808,24525568,
Bellman-Ford,200000,503488,249.692,14869760,1600000,16469760,
Dijkstra,321270,800172,19.371,23713920,15372912,39086832,
Bellman-Ford,321270,800172,436.137,23713920,2570160,26284080,
