algorithm,vertices,edges,runtime_ms,graph_memory_bytes,extra_memory_bytes,total_memory_bytes,note
Dijkstra,10000,11156,0.000208,463120,258496,721616,
Bellman-Ford,10000,11156,0.0105,463120,80000,543120,
Dijkstra,50000,57424,0.000208,2348480,1318784,3667264,
Bellman-Ford,50000,57424,0.050875,2348480,400000,2748480,
Dijkstra,100000,112904,0.000291,4658080,2606464,7264544,
Bellman-Ford,100000,112904,0.102042,4658080,800000,5458080,
Dijkstra,200000,230960,0.000459,9419200,5295360,14714560,
Bellman-Ford,200000,230960,0.191958,9419200,1600000,11019200,
Dijkstra,500000,574854,0.003042,23497080,13197664,36694744,
Bellman-Ford,500000,574854,0.506334,23497080,4000000,27497080,
Dijkstra,1000000,1143976,0.000917,46879520,26303616,73183136,
Bellman-Ford,1000000,1143976,0.980917,46879520,8000000,54879520,
Dijkstra,1890815,4657742,131.682,138534400,89650392,228184792,
Bellman-Ford,1890815,4657742,9584.55,138534400,15126520,153660920,
