algorithm,vertices,edges,runtime_ms,graph_memory_bytes,extra_memory_bytes,total_memory_bytes,note
Dijkstra,10000,24120,0.119666,722400,465920,1188320,
Bellman-Ford,10000,24120,1.10033,722400,80000,802400,
Dijkstra,50000,134634,2.12858,3892680,2554144,6446824,
Bellman-Ford,50000,134634,27.8726,3892680,400000,4292680,
Dijkstra,100000,265836,2.87288,7716720,5053376,12770096,
Bellman-Ford,100000,265836,57.4952,7716720,800000,8516720,
Dijkstra,200000,556006,9.24387,15920120,10496096,26416216,
Bellman-Ford,200000,556006,152.286,15920120,1600000,17520120,
Dijkstra,264346,733846,16.9822,21021224,13856304,34877528,
Bellman-Ford,264346,733846,230.334,21021224,2114768,23135992,
